Annees,Line1entrees,Line1percent,Line2entrees,Line2percent,Line3entrees,Line3percent,Line4entrees,Line4percent,Line5entrees,Line5percent,Line6entrees,Line6percent,Line7entrees,Line7percent,Line8entrees,Line8percent
1921,15744.0,0.5789086630386822,11999.0,0.697940902745463,3567.0,0.263344407530454,3621.0,0.4997929606625259,39.0,0.0010323195426030333,450.0,0.01433166661358642,844.0,0.05927798848152831,500.0,0.03984381225595665
1922,17653.0,0.6491028092366524,12094.0,0.7034667287110283,3659.0,0.27013658176448874,3659.0,0.5050379572118703,51.0,0.0013499563249424282,453.0,0.014427211057676996,892.0,0.06264924848995646,507.0,0.040401625627540044
1923,18439.0,0.6780041182526843,12285.0,0.7145765472312704,3781.0,0.2791435954226652,3787.0,0.5227053140096618,52.0,0.0013764260568040446,478.0,0.015223414758431798,998.0,0.07009411434190195,510.0,0.040640688501075786
1924,18608.0,0.6842182673922635,12611.0,0.7335388552815263,3790.0,0.2798080472499077,3815.0,0.5265700483091788,52.0,0.0013764260568040446,517.0,0.016465492531609286,1023.0,0.07184997892962494,514.0,0.04095943899912344
1925,19460.0,0.715546403882924,12760.0,0.7422056770590972,3826.0,0.2824658545588778,4407.0,0.6082815734989648,52.0,0.0013764260568040446,534.0,0.01700691104812255,1053.0,0.07395701643489254,515.0,0.04103912662363535
1926,21636.0,0.7955581703191645,13665.0,0.7948464402047464,4287.0,0.316500553709856,4424.0,0.6106280193236715,59.0,0.0015617141798353583,674.0,0.021465651772349437,1092.0,0.07669616519174041,519.0,0.041357877121683005
1927,22162.0,0.8148992498896896,13729.0,0.7985691019078641,4410.0,0.32558139534883723,4448.0,0.6139406487232574,59.0,0.0015617141798353583,674.0,0.021465651772349437,1190.0,0.08357915437561456,520.0,0.041437564746194915
1928,22315.0,0.8205250772172378,13757.0,0.8001977664029781,4829.0,0.356515319306017,5081.0,0.7013112491373361,83.0,0.002196987744514148,677.0,0.021561196216440013,1212.0,0.08512431521281079,566.0,0.045103195473742926
1929,22389.0,0.823246065597882,13820.0,0.8038622615169846,6015.0,0.4440753045404208,5102.0,0.7042097998619737,93.0,0.0024616850631303104,716.0,0.022803273989617505,1242.0,0.08723135271807839,593.0,0.04725476133556459
1930,23138.0,0.8507868804235917,14038.0,0.8165425779432294,6027.0,0.4449612403100775,5389.0,0.7438233264320221,109.0,0.0028852007729161704,748.0,0.023822414726583648,1255.0,0.08814440230369434,631.0,0.05028289106701729
1931,23539.0,0.8655316958376231,14059.0,0.8177640763145649,6043.0,0.44614248800295314,5580.0,0.7701863354037267,117.0,0.0030969586278091,749.0,0.02385426287461384,1263.0,0.0887062789717657,637.0,0.050761016814088775
1932,23834.0,0.8763788792469481,14069.0,0.818345742205677,6684.0,0.49346622369878185,5636.0,0.7779158040027605,120.0,0.003176367823393949,764.0,0.024331985095066722,1279.0,0.08983003230790841,664.0,0.05291258267591043
1933,24068.0,0.8849830857479041,14106.0,0.820497906002792,6687.0,0.493687707641196,5697.0,0.7863354037267081,1131.0,0.02993726673548797,781.0,0.024873403611579987,1295.0,0.09095378564405113,867.0,0.06908917045182883
1934,24207.0,0.890094131489925,14166.0,0.8239879013494649,6697.0,0.49442598744924326,5706.0,0.7875776397515528,1132.0,0.029963736467349587,792.0,0.0252237332399121,1326.0,0.09313105773282765,867.0,0.06908917045182883
1935,24615.0,0.9050963376967202,14200.0,0.8259655653792461,9746.0,0.7195275009228498,5751.0,0.7937888198757764,1138.0,0.030122554858519283,824.0,0.026242873976878245,1340.0,0.09411434190195252,867.0,0.06908917045182883
1936,24914.0,0.9160906015590528,14222.0,0.8272452303396929,10208.0,0.7536360280546327,5761.0,0.7951690821256039,1189.0,0.03147251118346171,847.0,0.026975381381572662,1365.0,0.09587020648967552,868.0,0.06916885807634074
1937,24925.0,0.9164950728048242,14239.0,0.8282340623545835,10356.0,0.764562569213732,5764.0,0.7955831608005521,1512.0,0.040022234574763754,1084.0,0.03452339246472818,1397.0,0.09811771316196095,869.0,0.06924854570085266
1938,24948.0,0.917340785409619,14258.0,0.8293392275476966,10460.0,0.7722406792174235,5778.0,0.7975155279503106,1546.0,0.04092220545805871,1530.0,0.04872766648619383,1412.0,0.09917123191459475,878.0,0.06996573432145987
1939,24957.0,0.9176717164288866,14272.0,0.8301535597952536,10471.0,0.7730527870062753,5784.0,0.798343685300207,1558.0,0.0412398422403981,1891.0,0.06022484792509315,1462.0,0.10268296109004074,882.0,0.07028448481950753
1940,25057.0,0.9213487277540815,14300.0,0.8317822242903676,10478.0,0.7735695828719085,5794.0,0.7997239475500345,1587.0,0.042007464464384976,2259.0,0.07194496640020383,1514.0,0.10633515943250456,887.0,0.0706829229420671
1941,25133.0,0.9241432563612296,15119.0,0.8794206607724523,10489.0,0.7743816906607605,5950.0,0.821256038647343,1656.0,0.0438338759628365,2779.0,0.0885060033759037,1556.0,0.10928501193987919,896.0,0.07140011156267431
1942,25152.0,0.9248418885130166,15177.0,0.8827943229409028,10889.0,0.8039128829826504,5952.0,0.8215320910973085,1673.0,0.044283861404483975,3193.0,0.10169113666040319,1645.0,0.11553588987217306,905.0,0.07211730018328154
1943,25160.0,0.9251360494190322,15186.0,0.8833178222429037,12102.0,0.8934662236987818,5968.0,0.8237405106970325,1757.0,0.04650731888085974,3596.0,0.1145259403165706,1899.0,0.1333754740834387,906.0,0.07219698780779345
1944,25248.0,0.9283718193852037,15197.0,0.883957654723127,12105.0,0.893687707641196,5987.0,0.8263630089717047,1811.0,0.047936684401387014,3901.0,0.12423962546577917,1912.0,0.13428852366905464,910.0,0.0725157383058411
1945,25282.0,0.9296220032357699,15217.0,0.8851209865053513,12202.0,0.9008490217792543,5989.0,0.8266390614216701,1815.0,0.04804256332883348,4259.0,0.1356412624605879,1996.0,0.1401882286838039,916.0,0.07299386405291258
1946,25288.0,0.9298426239152816,15247.0,0.8868659841786878,12517.0,0.9241048357327427,6040.0,0.8336783988957902,2204.0,0.0583392890230022,4599.0,0.1464696327908532,2021.0,0.1419440932715269,938.0,0.07474699179217467
1947,25305.0,0.9304677158405648,15266.0,0.8879711493718009,12524.0,0.9246216315983757,6104.0,0.842512077294686,2345.0,0.06207152121549009,4738.0,0.1508965253670499,2037.0,0.1430678466076696,938.0,0.07474699179217467
1948,25511.0,0.9380423591704663,15282.0,0.8889018147975802,12551.0,0.9266149870801034,6121.0,0.8448585231193927,2432.0,0.0643743878874507,4922.0,0.15675658460460523,2077.0,0.1458772299480264,940.0,0.0749063670411985
1949,25519.0,0.9383365200764818,15316.0,0.8908794788273615,12589.0,0.9294204503506829,6164.0,0.8507936507936508,2654.0,0.0702506683607295,5134.0,0.16350839198700595,2341.0,0.16441915999438123,963.0,0.0767391824049725
1950,25537.0,0.938998382115017,15333.0,0.8918683108422523,12603.0,0.930454042081949,6189.0,0.8542443064182195,2679.0,0.07091241165726991,5365.0,0.1708653141819803,2410.0,0.1692653462564967,971.0,0.07737668340106782
1951,25549.0,0.9394396234740403,15357.0,0.8932643089809214,12620.0,0.9317091177556294,6208.0,0.8568668046928917,2749.0,0.07276529288758304,5864.0,0.18675754004904616,2429.0,0.17059980334316618,975.0,0.07769543389911547
1952,25552.0,0.9395499338137961,15391.0,0.8952419730107026,12634.0,0.9327427094868955,6250.0,0.862663906142167,2882.0,0.076285767225178,5998.0,0.19102519188509187,2454.0,0.17235566793088916,984.0,0.07841262251972268
1953,25554.0,0.9396234740403,15460.0,0.8992554676593765,12652.0,0.9340716131413805,6265.0,0.8647342995169082,2962.0,0.0784033457741073,6217.0,0.19799993630370394,2500.0,0.17558645877229948,986.0,0.07857199776874652
1954,25562.0,0.9399176349463156,15477.0,0.9002442996742671,12701.0,0.9376891842008122,6267.0,0.8650103519668737,3049.0,0.08070621244606792,6354.0,0.20236313258384026,2558.0,0.17966006461581682,999.0,0.07960793688740139
1955,25584.0,0.9407265774378585,15505.0,0.9018729641693811,12712.0,0.938501291989664,6287.0,0.8677708764665286,3141.0,0.08314142777733662,6541.0,0.20831873626548617,2614.0,0.18359320129231635,1009.0,0.08040481313252051
1956,25593.0,0.9410575084571261,15587.0,0.9066426244765007,12724.0,0.9393872277593208,6293.0,0.8685990338164251,3193.0,0.08451785383414066,6665.0,0.21226790662122996,2662.0,0.18696446130074448,1020.0,0.08128137700215157
1957,25782.0,0.9480070598617444,15633.0,0.9093182875756166,12728.0,0.9396825396825397,6298.0,0.8692891649413389,3260.0,0.08629132586886895,6799.0,0.2165355584572757,2693.0,0.189141733389521,1028.0,0.08191887799824688
1958,25826.0,0.9496249448448302,15651.0,0.9103652861796184,12734.0,0.940125507567368,6304.0,0.8701173222912353,3376.0,0.08936181476481643,7033.0,0.22398802509634064,2724.0,0.19131900547829753,1056.0,0.08415013148458045
1959,25919.0,0.9530445653772613,15714.0,0.9140297812936249,12739.0,0.9404946474713917,6308.0,0.8706694271911664,3537.0,0.09362344159453664,7134.0,0.22720468804739005,2799.0,0.1965865992414665,1080.0,0.08606263447286637
1960,25933.0,0.9535593469627887,15752.0,0.9162401116798511,12742.0,0.9407161314138058,6314.0,0.8714975845410629,3624.0,0.09592630826649726,7295.0,0.23233223988025095,2883.0,0.20248630425621575,1153.0,0.09187983106223603
1961,25939.0,0.9537799676423003,15780.0,0.9178687761749651,12743.0,0.9407899593946105,6324.0,0.8728778467908903,3768.0,0.09973794965457,7380.0,0.23503933246281727,2958.0,0.20775389801938474,1219.0,0.09713921428002231
1962,25948.0,0.9541108986615678,15811.0,0.9196719404374127,12744.0,0.9408637873754153,6337.0,0.874672187715666,4107.0,0.10871118875565791,7518.0,0.2394343768909838,2991.0,0.2100716392751791,1358.0,0.10821579408717825
1963,25949.0,0.9541476687748198,15817.0,0.92002093997208,12744.0,0.9408637873754153,6351.0,0.8766045548654244,5146.0,0.13621324015987718,7594.0,0.2418548361412784,3055.0,0.21456665261974997,1538.0,0.12255956649932266
1964,25978.0,0.9552140020591263,15840.0,0.9213587715216379,12749.0,0.9412329272794389,6404.0,0.88391994478951,5232.0,0.13848963709997617,7736.0,0.24637727316156566,3081.0,0.21639275179098189,2380.0,0.18965654633835366
1965,26020.0,0.9567583468157081,15868.0,0.9229874360167519,12752.0,0.941454411221853,6421.0,0.8862663906142167,5332.0,0.1411366102861378,7920.0,0.252237332399121,3125.0,0.21948307346537435,3125.0,0.24902382659972908
1966,26208.0,0.9636711281070746,15890.0,0.9242671009771987,12754.0,0.9416020671834625,6430.0,0.8875086266390614,5420.0,0.14346594668996004,8002.0,0.25484888053759674,3210.0,0.22545301306363252,3241.0,0.258267591043111
1967,26220.0,0.9641123694660979,15918.0,0.9258957654723127,12756.0,0.941749723145072,6449.0,0.8901311249137336,5712.0,0.15119510839355196,8114.0,0.2584158731169782,3276.0,0.23008849557522124,3357.0,0.26751135548649296
